Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
N 140,Numas,,,,Unpublished,NA,N 140,NA,4,47.6266,N 139,S; W,3; 4; 5; 6; 8; 10; 11,,>300m,,>300m,unfavourable,NA,<15m,marginal,magnificent,Pager's Camp,water run-off; wind erosion,medium quantity,medium quantity,none,few,none,none,none,none,none,
N 141,Numas,,,,Unpublished,NA,N 141,NA,4,119.9073,N 140,E; W,1; 12,,>300m,,adjacent,� vertical rock,NA,<3m,marginal,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,
N 142,Numas,,,,Unpublished,NA,N 142,NA,5,187859,N 140,N,1,,>300m,,<300m,� vertical rock,NA,<3m,marginal,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
N 143,Numas,,,,Unpublished,NA,N 143,NA,4,132.3188,N 144,S,1; 5; 6; 10,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,few,few,none,none,none,none,none,
N 144,Numas,,,,Unpublished,NA,N 144,NA,6,132.3188,N 143,SE,1,,>300m,True,within shouting distance,� vertical rock,NA,<15m,marginal,poor,none,water run-off,few,few,few,none,none,none,none,none,none,
N 145,Numas,,,,Unpublished,NA,N 145,NA,3,329.3689,N 152,SW,5; 8,,>300m,,>300m,spacious,NA,<3m,isolated,magnificent,none,none,few,few,few,few,none,none,none,none,none,
N 146,Numas,,,,Unpublished,NA,N 146,NA,5,564.4641,N 184,NW,5,,<300m,,NA,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
N 147,Numas,,,,Unpublished,NA,N 147,NA,NA,505.6817,N 30,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
N 148,Numas,,,,Unpublished,NA,N 148,NA,NA,274.9451,N 50,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
N 149,Numas,,,,Unpublished,NA,N 149,NA,3,125.2026,N 150,SW,5,,<300m,True,within shouting distance,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,none,few,none,none,none,none,none,
N 150,Numas,,,,Unpublished,NA,N 150,NA,6,72.3845,N 151,N,1,,<300m,True,adjacent,� vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
N 151,Numas,,,,Unpublished,NA,N 151,NA,6,72.3845,N 150,W,5,,<300m,True,within shouting distance,unfavourable,NA,<1m,central,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
N 152,Numas,,,,Unpublished,NA,N 152,NA,3,76.9803,N 151,E; S; W,1; 4; 5; 12,,within shouting distance,True,adjacent,unfavourable,NA,<15m,central,magnificent,none,water run-off,many,medium quantity,many,few,none,none,none,none,none,
N 153,Numas,,,,Unpublished,NA,N 153,NA,4,77.1866,N 152,S,5,True,within shouting distance,True,within shouting distance,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
N 154,Numas,,,,Unpublished,NA,N 154,NA,4,198.2041,N 155,N; E; S,5; 7; 8,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,poor,Pager's Camp,water run-off,few,few,few,none,none,none,none,none,none,
N 155,Numas,,,,Unpublished,NA,N 155,NA,4,174.9403,N 156,N,1,,>300m,,>300m,� vertical rock,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
N 156,Numas,,,,Unpublished,NA,N 156,NA,4,174.9403,N 155,SW,5; 6; 10,,>300m,,>300m,unfavourable,NA,<3m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
N 157,Numas,,,,Unpublished,NA,N 157,NA,4,118.2028,N 158,E,5,,>300m,,within shouting distance,unfavourable,NA,<3m,marginal,poor,none,none,few,few,none,none,none,none,none,none,none,
N 158,Numas,,,,Unpublished,NA,N 158,NA,5,118.2028,N 157,E,5,,>300m,True,adjacent,unfavourable,NA,<3m,marginal,poor,none,water run-off,few,few,none,few,none,none,none,none,none,
N 159,Numas,,,,Unpublished,NA,N 159,NA,4,95.7314,N 165,NE; SW,1; 5; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,
N 160,Numas,,,,Unpublished,NA,N 160,NA,6,83.4714,N 161,W,5,,>300m,,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
N 161,Numas,,,,Unpublished,NA,N 161,NA,4,83.4714,N 160,W,1; 4; 5; 11; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,many,medium quantity,medium quantity,many,none,none,none,none,none,
N 162,Numas,,,,Unpublished,NA,N 162,NA,4,75124,N 164,N,5; 6; 7; 8; 11; 12,,>300m,True,within shouting distance,unfavourable,NA,>15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,
N 163,Numas,,,,Unpublished,NA,N 163,NA,5,90.4991,N 162,S,1; 9,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,
N 164,Numas,,,,Unpublished,NA,N 164,NA,2,75124,N 162,NE,1; 4; 5; 6; 12,,>300m,,>300m,spacious,NA,<15m,central,rather nice,Pager's Camp,water run-off,masses,masses,many,many,none,few,none,none,none,
N 165,Numas,,,,Unpublished,NA,N 165,NA,5,95.7314,N 159,NE,10,,>300m,True,<300m,spacious,NA,<1m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
N 166,Numas,,,,Unpublished,NA,N 166,NA,6,59.1647,N 167,NE,1,,NA,,NA,� vertical rock,NA,<3m,marginal,poor,none,water run-off,few,few,none,few,none,none,none,none,none,
N 167,Numas,,,,Unpublished,NA,N 167,NA,5,59.1647,N 166,W,1,,>300m,,>300m,� vertical rock,NA,<15m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
N 168,Numas,,,,Unpublished,NA,N 168,NA,4,139.5403,N 167,E,3; 4; 5; 6,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,many,medium quantity,many,many,none,none,none,none,none,
N 169,Numas,,,,Unpublished,NA,N 169,NA,4,282.6137,N 164,N,1,,>300m,True,adjacent,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
N 170,Numas,,,,Unpublished,NA,N 170,NA,6,47.7735,N 171,S,11,,>300m,True,within shouting distance,unfavourable,NA,<3m,central,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
N 171,Numas,,,,Unpublished,NA,N 171,NA,5,47.7735,N 170,N,5; 8,,>300m,,<300m,spacious,NA,<3m,NA,poor,Pager's Camp,water run-off,medium quantity,few,medium quantity,none,none,none,none,none,none,
N 172,Numas,,,,Unpublished,NA,N 172,NA,4,142.2794,N 173,NE; SW,1; 5; 7; 12,,>300m,True,adjacent,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
N 173,Numas,,,,Unpublished,NA,N 173,NA,5,142.2794,N 172,NW,1; 4; 5; 6,,>300m,True,>300m,unfavourable,NA,<3m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,medium quantity,none,none,none,none,none,
N 174,Numas,,,,Unpublished,NA,N 174,NA,4,153.5399,N 175,W,1; 4; 12,,>300m,True,within shouting distance,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,many,many,few,few,none,none,none,none,none,
N 175,Numas,,,,Unpublished,NA,N 175,NA,3,51.4285,N 176,SW,3; 4; 5; 8; 10; 12,,>300m,True,within shouting distance,spacious,NA,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,medium quantity,none,none,none,none,none,none,
N 176,Numas,,,,Unpublished,NA,N 176,NA,4,51.4285,N 175,E,5; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
N 177,Numas,,,,Unpublished,NA,N 177,NA,5,180.5487,N 175,NW,1,,>300m,True,adjacent,unfavourable,NA,<3m,marginal,poor,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
N 178,Numas,,,,Unpublished,NA,N 178,NA,4,109.5579,N 179,E,1,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,poor,none,water run-off,many,many,none,none,none,none,none,none,none,
N 179,Numas,,,,Unpublished,NA,N 179,NA,6,109.5579,N 178,W,1,,>300m,True,adjacent,� vertical rock,NA,<15m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
N 180,Numas,,,,Unpublished,NA,N 180,NA,5,186.3601,N 179,S,5,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
N 181,Numas,,,,Unpublished,NA,N 181,NA,NA,360.8842,N 180,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
N 182,Numas,,,,Unpublished,NA,N 182,NA,NA,48.3208,C 34,S,5,,�>300m,,�>300m,spacious,NA,<15m,isolated,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
N 183,Numas,,,,Unpublished,NA,N 183,NA,NA,1648.8068,C 36,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
N 184,Numas,,,,Unpublished,NA,N 184,NA,6,79.9253,N 185,S,5,,<300m,,NA,unfavourable,NA,<3m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
N 185,Numas,,,,Unpublished,NA,N 185,NA,4,53.4261,N 186,W,1; 4; 5,True,within shouting distance,True,adjacent,unfavourable,NA,<15m,central,poor,none,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,
N 186,Numas,,,,Unpublished,NA,N 186,NA,6,52521,N 187,S,6,,within shouting distance,,NA,unfavourable,NA,<3m,central,1,European; ,fading of colours,none,none,none,none,none,none,none,none,none,
N 187,Numas,,,,Unpublished,NA,N 187,NA,5,52521,N 186,SE,1,,within shouting distance,,>300m,unfavourable,NA,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
N 188,Numas,,,,Unpublished,NA,N 188,NA,4,1247078,N 187,S,4; 5; 6,,<300m,,>300m,spacious,NA,<15m,isolated,rather nice,Pager's Camp,none,medium quantity,medium quantity,few,few,none,few,none,none,none,
O 1,Orabes,,Toiwo,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 1,15,5,257.0497,O 2,S,6; 10,,>300m,True,within shouting distance,spacious,6,<1m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 2,Orabes,,Toiwo/Shipahu,19.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 2,1,6,87.3603,O 3,S,10,,>300m,,within shouting distance,spacious,18,<1m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 3,Orabes,,Toiwo/Shipahu,19.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 3,66,3,87.3603,O 2,NE; NW,1; 12,,>300m,True,adjacent,� vertical rock,0,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 4,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 4,4,6,96.6828,O 6,SW,1,,<300m,True,adjacent,� vertical rock,2,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
O 5,Orabes,,Toiwo,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 5,7,5,77.0593,O 6,NW,4,True,within shouting distance,,<300m,unfavourable,7,<3m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 6,Orabes,,Toiwo/Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 6,42,4,77.0593,O 5,NW,4; 5,,within shouting distance,,<300m,unfavourable,6,<15m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 7,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 7,329,2,103.0582,O 5,N; W,5; 6; 7; 8,True,within shouting distance,True,adjacent,spacious,33,<15m,central,rather nice,Fireplace and Pager's Camp,disintegration of rock; water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
O 8,Orabes,,Shipahu,19.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 8,12,5,72.3149,O 9,N,5; 12,,<300m,True,adjacent,unfavourable,19,<3m,marginal,rather nice,Fireplace,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 9,Orabes,,Shipahu,19.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 9,2,6,72.3149,O 8,W,8,,<300m,,within shouting distance,unfavourable,5,<15m,marginal,poor,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 10,Orabes,,Shipahu,25.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 10,5,5,377.7001,O 7,NE,5,,<300m,True,adjacent,unfavourable,2,<15m,isolated,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 11,Orabes,,Toiwo,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 11,4,6,440.8461,O 10,NW,1,,>300m,True,adjacent,� vertical rock,1,<3m,isolated,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 12,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 12,140,3,57.1892,O 13,SW,4; 5,,<300m,True,within shouting distance,unfavourable,32,<15m,marginal,magnificent,Pager's Camp,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
O 13,Orabes,,Toiwo/Shipahu,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 13,169,3,57.1892,O 12,N; E,1; 4; 5; 10; 12,,<300m,True,adjacent,unfavourable; � vertical rock,24,<15m,central,magnificent,Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
O 14,Orabes,,Shipahu,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 14,141,3,70.2372,O 13,NA,1; 4; 5; 6; 12,,<300m,True,adjacent,spacious; unfavourable,15,<15m,NA,rather nice,none,disintegration of rock; water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
O 15,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 15,4,6,114.8285,O 14,W,3; 4,,<300m,True,adjacent,unfavourable,6,<15m,marginal,1,European; ,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
O 16,Orabes,,Toiwo,08.04.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 16,2,6,43.6044,O 18,SW,1,,>300m,True,adjacent,� vertical rock,0,<3m,marginal,magnificent,none,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
O 17,Orabes,,Shipahu,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 17,63,3,28.6483,O 18,E; W,5; 7; 8,,>300m,,NA,unfavourable,6,<3m,central,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 18,Orabes,,Toiwo,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 18,54,4,28.6483,O 17,N,5; 10; 12,,>300m,True,within shouting distance,spacious,21,>15m,marginal,magnificent,Pager's Camp,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 19,Orabes,,Shipahu,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 19,6,5,49.8218,O 17,W,5,,>300m,True,within shouting distance,spacious,6,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 20,Orabes,,Toiwo/Shipahu,08.04.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 20,9,5,352.2925,O 19,SW,6,,>300m,,>300m,spacious,8,<3m,isolated,magnificent,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 21,Orabes,,Toiwo/Shipahu,22.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 21,75,3,197.5709,O 22,S,1; 5,,>300m,,>300m,� vertical rock,18,<3m,isolated,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 22,Orabes,,Kambonde,17.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 22,19,4,60.2448,O 27,S,5; 7; 10; 12,,<300m,,>300m,spacious,8,<3m,marginal,magnificent,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 23,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 23,7,5,41.9036,O 24,S,5,True,within shouting distance,,>300m,unfavourable,4,<1m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
O 24,Orabes,,Shipahu,22.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 24,35,4,41.9036,O 23,S,5; 6; 10; 12,True,adjacent,,>300m,spacious,7,<3m,marginal,magnificent,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 25,Orabes,,Toiwo/Shipahu,25.04.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 25,39,4,69.4849,O 24,S,5,True,adjacent,,>300m,unfavourable,8,<1m,central,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 26,Orabes,,Toiwo,17.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 26,93,3,112.9063,O 25,S,5; 10,,within shouting distance,,>300m,unfavourable,6,<3m,marginal,magnificent,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 27,Orabes,,Kambonde,17.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 27,50,4,53.0831,O 28,E,5; 6,,<300m,,>300m,unfavourable,16,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 28,Orabes,,Kambonde,17.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 28,2,6,53.0831,O 27,S,5,,>300m,,<300m,spacious,8,<3m,marginal,magnificent,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
O 29,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 29,1,6,141145,O 28,W,1,,>300m,True,adjacent,� vertical rock,6,<3m,marginal,1,European; ,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
O 30,Orabes,,Kambonde,17.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 30,27,4,540.6566,O 29,E; W,1; 12,,>300m,True,adjacent,� vertical rock,2,<15m,isolated,magnificent,none,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
P 1,Porters,,Shipahu,27.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 1,443,1,125983,P 2,SE; SW; NW,5; 6; 7; 8; 9; 11,,>300m,True,adjacent,spacious,11,<15m,marginal,rather nice,Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
P 2,Porters,,Craven,16.03.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 2,27,4,125983,P 1,NE,5; 6,True,adjacent,True,within shouting distance,spacious,40,<3m,marginal,magnificent,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
P 3,Porters,,Shipahu,05.05.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 3,49,4,192.0724,P 4,NE,1; 5; 6; 12,,within shouting distance,,>300m,spacious; unfavourable; � vertical rock,15,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
P 4,Porters,,Shipahu,11.05.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 4,7,5,192.0724,P 3,NE,5,,>300m,,>300m,spacious,10,<1m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
P 5,Porters,,Shipahu,06.05.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 5,56,4,288.9154,P 6,W,5; 6,,>300m,,>300m,unfavourable,7,<15m,isolated,magnificent,Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
P 6,Porters,,Shipahu,17.06.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,P 6,25,4,288.9154,P 5,N,5,,>300m,,>300m,unfavourable,10,<3m,isolated,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
Q 1,Quagga,,E. Rohe,29.01.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,Q 1,43,4,194.5704,E 21,NE,5; 10,,>300m,,>300m,spacious,58,<3m,isolated,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
Q 2,Quagga,,Toiwo/ Lameka,21.02.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,Q 2,8,5,196.8822,E 23,W,5,,>300m,,>300m,unfavourable,7,<3m,isolated,magnificent,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
Q 3,Quagga,,Shipahu,10.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,Q 3,45,4,288.1118,Q 1,E,5,,>300m,,>300m,unfavourable,6,<15m,isolated,rather nice,none,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,Site recorded via binocular (telediagnosis)
R 1,Raiders,,Shipahu,05.05.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,R 1,151,3,459.6861,P 4,E,3; 4; 5; 6,,>300m,,<300m,spacious,12,<15m,isolated,magnificent,Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
R 2,Raiders,,Paulus,27.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 � Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,R 2,8,5,202.3369,R 3,W,5,True,adjacent,True,within shouting distance,unfavourable,2,<1m,marginal,magnificent,Pager's Camp,none,none,NA,NA,NA,NA,NA,NA,NA,NA,
